bank_transaction_id,reference,amount,transaction_date,description,bank_name,created_at
BTX_P0110,RAZORPAY_DELAYED_P0110,91976.88,2026-08-23,Delayed Settlement for P0110 due to weekend/bank holiday,Axis Bank,2026-08-23 19:01:09.719714+00:00
BTX_P0105,PAYU_DELAYED_P0105,87778.36,2026-08-21,Delayed Settlement for P0105 due to weekend/bank holiday,Kotak Mahindra Bank,2026-08-23 19:01:09.719512+00:00
BTX_P0104,STRIPE_IN_DELAYED_P0104,51065.72,2026-08-20,Delayed Settlement for P0104 due to weekend/bank holiday,ICICI Bank,2026-08-23 19:01:09.719472+00:00
BTX_P0103,RAZORPAY_DELAYED_P0103,71960.68,2026-08-18,Delayed Settlement for P0103 due to weekend/bank holiday,ICICI Bank,2026-08-23 19:01:09.719432+00:00
BTX_P0051,STRIPE_IN_SETTLE_P0051,144116.64,2026-08-17,Settlement for P0051 / Apollo Hospitals Ent,ICICI Bank,2026-08-23 19:01:09.717155+00:00
BTX_P0053,STRIPE_IN_SETTLE_P0053,14841.28,2026-08-17,Settlement for P0053 / Reliance Retail Ltd,HDFC Bank,2026-08-23 19:01:09.717237+00:00
BTX_P0092,STRIPE_IN_PAY_P0092,107013.44,2026-08-17,Direct Credit from FLIPKART PAYMENTS,HDFC Bank,2026-08-23 19:01:09.718940+00:00
BTX_P0108,CASHFREE_DELAYED_P0108,75182.80,2026-08-17,Delayed Settlement for P0108 due to weekend/bank holiday,Axis Bank,2026-08-23 19:01:09.719632+00:00
BTX_P0015,CASHFREE_SETTLE_P0015,37493.76,2026-08-16,Settlement for P0015 / Paytm One97 Comm,State Bank of India,2026-08-23 19:01:09.715651+00:00
BTX_P0019,STRIPE_IN_SETTLE_P0019,133376.24,2026-08-16,Settlement for P0019 / Larsen & Toubro Ltd,State Bank of India,2026-08-23 19:01:09.715814+00:00
BTX_P0024,PAYU_SETTLE_P0024,124002.80,2026-08-16,Settlement for P0024 / Larsen & Toubro Ltd,Kotak Mahindra Bank,2026-08-23 19:01:09.716017+00:00
BTX_P0035,RAZORPAY_SETTLE_P0035,92465.08,2026-08-16,Settlement for P0035 / Bharti Airtel Ltd,ICICI Bank,2026-08-23 19:01:09.716497+00:00
BTX_P0101,CASHFREE_DELAYED_P0101,132302.20,2026-08-16,Delayed Settlement for P0101 due to weekend/bank holiday,ICICI Bank,2026-08-23 19:01:09.719350+00:00
BTX_P0129_A,CASHFREE_DUP_P0129,101545.60,2026-08-16,First credit settlement for P0129,Kotak Mahindra Bank,2026-08-23 19:01:09.720833+00:00
BTX_P0129_B,CASHFREE_DUP_P0129,101545.60,2026-08-16,Duplicate second credit for P0129,Kotak Mahindra Bank,2026-08-23 19:01:09.720874+00:00
BTX_P0023,RAZORPAY_SETTLE_P0023,140894.52,2026-08-15,Settlement for P0023 / Swiggy Bundl Technologies,Axis Bank,2026-08-23 19:01:09.715977+00:00
BTX_P0026,STRIPE_IN_SETTLE_P0026,63563.64,2026-08-15,Settlement for P0026 / HDFC Life Insurance,Axis Bank,2026-08-23 19:01:09.716097+00:00
BTX_P0042,CASHFREE_SETTLE_P0042,75671.00,2026-08-15,Settlement for P0042 / Apollo Hospitals Ent,Axis Bank,2026-08-23 19:01:09.716779+00:00
BTX_P0048,CASHFREE_SETTLE_P0048,38079.60,2026-08-15,Settlement for P0048 / Paytm One97 Comm,Axis Bank,2026-08-23 19:01:09.717021+00:00
BTX_P0070,RAZORPAY_SETTLE_P0070,145971.80,2026-08-15,Settlement for P0070 / Delhivery Logistics,HDFC Bank,2026-08-23 19:01:09.718014+00:00
BTX_P0084,RAZORPAY_PAY_P0084,67566.88,2026-08-15,Direct Credit from Bharti Airtel Ltd India,Axis Bank,2026-08-23 19:01:09.718620+00:00
BTX_P0085,RAZORPAY_PAY_P0085,13669.60,2026-08-15,Direct Credit from Zerodha Trading,Kotak Mahindra Bank,2026-08-23 19:01:09.718660+00:00
BTX_P0086,RAZORPAY_PAY_P0086,77623.80,2026-08-15,Direct Credit from FK Internet,State Bank of India,2026-08-23 19:01:09.718701+00:00
BTX_P0109,CASHFREE_DELAYED_P0109,114043.52,2026-08-15,Delayed Settlement for P0109 due to weekend/bank holiday,ICICI Bank,2026-08-23 19:01:09.719672+00:00
BTX_P0125_A,PAYU_DUP_P0125,74304.04,2026-08-15,First credit settlement for P0125,HDFC Bank,2026-08-23 19:01:09.720511+00:00
BTX_P0125_B,PAYU_DUP_P0125,74304.04,2026-08-15,Duplicate second credit for P0125,HDFC Bank,2026-08-23 19:01:09.720553+00:00
BTX_P0127_A,PAYU_DUP_P0127,25972.24,2026-08-15,First credit settlement for P0127,Axis Bank,2026-08-23 19:01:09.720674+00:00
BTX_P0127_B,PAYU_DUP_P0127,25972.24,2026-08-15,Duplicate second credit for P0127,Axis Bank,2026-08-23 19:01:09.720714+00:00
BTX_P0009,RAZORPAY_SETTLE_P0009,29780.20,2026-08-14,Settlement for P0009 / Delhivery Logistics,Kotak Mahindra Bank,2026-08-23 19:01:09.715406+00:00
BTX_P0012,PAYU_SETTLE_P0012,24995.84,2026-08-14,Settlement for P0012 / Paytm One97 Comm,Axis Bank,2026-08-23 19:01:09.715529+00:00
BTX_P0017,PAYU_SETTLE_P0017,67957.44,2026-08-14,Settlement for P0017 / Reliance Retail Ltd,HDFC Bank,2026-08-23 19:01:09.715732+00:00
BTX_P0088,PAYU_PAY_P0088,70105.52,2026-08-14,Direct Credit from Apollo Hospitals Ent India,Kotak Mahindra Bank,2026-08-23 19:01:09.718781+00:00
BTX_P0089,STRIPE_IN_PAY_P0089,88950.04,2026-08-14,Direct Credit from FK Internet,Kotak Mahindra Bank,2026-08-23 19:01:09.718821+00:00
BTX_P0096,STRIPE_IN_PAY_P0096,103693.68,2026-08-14,Direct Credit from Larsen & Toubro Ltd India,ICICI Bank,2026-08-23 19:01:09.719114+00:00
BTX_P0111,STRIPE_IN_NET_P0111,138051.16,2026-08-14,Settlement with ₹500 dispute resolution fee adjustment,Axis Bank,2026-08-23 19:01:09.719754+00:00
BTX_P0010,STRIPE_IN_SETTLE_P0010,130544.68,2026-08-13,Settlement for P0010 / Wipro Enterprises,HDFC Bank,2026-08-23 19:01:09.715448+00:00
BTX_P0013,PAYU_SETTLE_P0013,37396.12,2026-08-13,Settlement for P0013 / Bharti Airtel Ltd,ICICI Bank,2026-08-23 19:01:09.715570+00:00
BTX_P0030,PAYU_SETTLE_P0030,27241.56,2026-08-13,Settlement for P0030 / Tata Consultancy Services,ICICI Bank,2026-08-23 19:01:09.716258+00:00
BTX_P0062,PAYU_SETTLE_P0062,53702.00,2026-08-13,Settlement for P0062 / Infosys Technologies,ICICI Bank,2026-08-23 19:01:09.717685+00:00
BTX_P0073,RAZORPAY_SETTLE_P0073,66492.84,2026-08-13,Settlement for P0073 / Reliance Retail Ltd,State Bank of India,2026-08-23 19:01:09.718138+00:00
BTX_P0079,PAYU_SETTLE_P0079,96858.88,2026-08-13,Settlement for P0079 / Flipkart Internet Pvt Ltd,ICICI Bank,2026-08-23 19:01:09.718421+00:00
BTX_P0016,RAZORPAY_SETTLE_P0016,48722.36,2026-08-12,Settlement for P0016 / Delhivery Logistics,ICICI Bank,2026-08-23 19:01:09.715692+00:00
BTX_P0018,STRIPE_IN_SETTLE_P0018,118242.04,2026-08-12,Settlement for P0018 / Flipkart Internet Pvt Ltd,Axis Bank,2026-08-23 19:01:09.715772+00:00
BTX_P0036,RAZORPAY_SETTLE_P0036,17672.84,2026-08-12,Settlement for P0036 / Paytm One97 Comm,Kotak Mahindra Bank,2026-08-23 19:01:09.716537+00:00
BTX_P0057,PAYU_SETTLE_P0057,117851.48,2026-08-12,Settlement for P0057 / MakeMyTrip India,ICICI Bank,2026-08-23 19:01:09.717483+00:00
BTX_P0059,RAZORPAY_SETTLE_P0059,96273.04,2026-08-12,Settlement for P0059 / Wipro Enterprises,HDFC Bank,2026-08-23 19:01:09.717564+00:00
BTX_P0066,STRIPE_IN_SETTLE_P0066,46964.84,2026-08-12,Settlement for P0066 / Urban Company Technologies,State Bank of India,2026-08-23 19:01:09.717852+00:00
BTX_P0091,CASHFREE_PAY_P0091,120780.68,2026-08-12,Direct Credit from Apollo Hospitals Ent ENT,Axis Bank,2026-08-23 19:01:09.718900+00:00
BTX_P0093,RAZORPAY_PAY_P0093,137574.76,2026-08-12,Direct Credit from Ola ANI Technologies ENT,ICICI Bank,2026-08-23 19:01:09.718981+00:00
BTX_P0099,CASHFREE_PAY_P0099,138355.88,2026-08-12,Direct Credit from Titan Company Ltd ENT,Kotak Mahindra Bank,2026-08-23 19:01:09.719235+00:00
BTX_P0126_A,RAZORPAY_DUP_P0126,134352.64,2026-08-12,First credit settlement for P0126,Axis Bank,2026-08-23 19:01:09.720594+00:00
