gateway_transaction_id,payment_id,amount,gateway_fee,tax_on_fee,settlement_date,status,created_at
GTW_P0110,P0110,94200.00,1884.00,339.12,2026-08-23,CAPTURED,2026-08-23 19:01:09.688052+00:00
GTW_P0105,P0105,89900.00,1798.00,323.64,2026-08-21,CAPTURED,2026-08-23 19:01:09.687747+00:00
GTW_P0104,P0104,52300.00,1046.00,188.28,2026-08-20,CAPTURED,2026-08-23 19:01:09.687691+00:00
GTW_P0103,P0103,73700.00,1474.00,265.32,2026-08-18,CAPTURED,2026-08-23 19:01:09.687635+00:00
GTW_P0051,P0051,147600.00,2952.00,531.36,2026-08-17,CAPTURED,2026-08-23 19:01:09.684268+00:00
GTW_P0053,P0053,15200.00,304.00,54.72,2026-08-17,CAPTURED,2026-08-23 19:01:09.684381+00:00
GTW_P0092,P0092,109600.00,2192.00,394.56,2026-08-17,CAPTURED,2026-08-23 19:01:09.686909+00:00
GTW_P0108,P0108,77000.00,1540.00,277.20,2026-08-17,CAPTURED,2026-08-23 19:01:09.687938+00:00
GTW_P0136,P0136,54200.00,1084.00,195.12,2026-08-17,CAPTURED,2026-08-23 19:01:09.708555+00:00
GTW_P0015,P0015,38400.00,768.00,138.24,2026-08-16,CAPTURED,2026-08-23 19:01:09.682063+00:00
GTW_P0019,P0019,136600.00,2732.00,491.76,2026-08-16,CAPTURED,2026-08-23 19:01:09.682331+00:00
GTW_P0024,P0024,127000.00,2540.00,457.20,2026-08-16,CAPTURED,2026-08-23 19:01:09.682610+00:00
GTW_P0035,P0035,94700.00,1894.00,340.92,2026-08-16,CAPTURED,2026-08-23 19:01:09.683293+00:00
GTW_P0101,P0101,135500.00,2710.00,487.80,2026-08-16,CAPTURED,2026-08-23 19:01:09.687523+00:00
GTW_P0129,P0129,104000.00,2080.00,374.40,2026-08-16,CAPTURED,2026-08-23 19:01:09.707929+00:00
GTW_P0131,P0131,54900.00,1098.00,197.64,2026-08-16,CAPTURED,2026-08-23 19:01:09.708109+00:00
GTW_P0023,P0023,144300.00,2886.00,519.48,2026-08-15,CAPTURED,2026-08-23 19:01:09.682555+00:00
GTW_P0026,P0026,65100.00,1302.00,234.36,2026-08-15,CAPTURED,2026-08-23 19:01:09.682723+00:00
GTW_P0042,P0042,77500.00,1550.00,279.00,2026-08-15,CAPTURED,2026-08-23 19:01:09.683699+00:00
GTW_P0048,P0048,39000.00,780.00,140.40,2026-08-15,CAPTURED,2026-08-23 19:01:09.684058+00:00
GTW_P0070,P0070,149500.00,2990.00,538.20,2026-08-15,CAPTURED,2026-08-23 19:01:09.685489+00:00
GTW_P0084,P0084,69200.00,1384.00,249.12,2026-08-15,CAPTURED,2026-08-23 19:01:09.686340+00:00
GTW_P0085,P0085,14000.00,280.00,50.40,2026-08-15,CAPTURED,2026-08-23 19:01:09.686396+00:00
GTW_P0086,P0086,79500.00,1590.00,286.20,2026-08-15,CAPTURED,2026-08-23 19:01:09.686452+00:00
GTW_P0109,P0109,116800.00,2336.00,420.48,2026-08-15,CAPTURED,2026-08-23 19:01:09.687994+00:00
GTW_P0125,P0125,76100.00,1522.00,273.96,2026-08-15,CAPTURED,2026-08-23 19:01:09.706942+00:00
GTW_P0127,P0127,26600.00,532.00,95.76,2026-08-15,CAPTURED,2026-08-23 19:01:09.707675+00:00
GTW_P0139,P0139,75400.00,1508.00,271.44,2026-08-15,CAPTURED,2026-08-23 19:01:09.708879+00:00
GTW_P0009,P0009,30500.00,610.00,109.80,2026-08-14,CAPTURED,2026-08-23 19:01:09.681696+00:00
GTW_P0012,P0012,25600.00,512.00,92.16,2026-08-14,CAPTURED,2026-08-23 19:01:09.681895+00:00
GTW_P0017,P0017,69600.00,1392.00,250.56,2026-08-14,CAPTURED,2026-08-23 19:01:09.682216+00:00
GTW_P0088,P0088,71800.00,1436.00,258.48,2026-08-14,CAPTURED,2026-08-23 19:01:09.686563+00:00
GTW_P0089,P0089,91100.00,1822.00,327.96,2026-08-14,CAPTURED,2026-08-23 19:01:09.686640+00:00
GTW_P0096,P0096,106200.00,2124.00,382.32,2026-08-14,CAPTURED,2026-08-23 19:01:09.687227+00:00
GTW_P0111,P0111,141900.00,3338.00,510.84,2026-08-14,CAPTURED,2026-08-23 19:01:09.688108+00:00
GTW_P0010,P0010,133700.00,2674.00,481.32,2026-08-13,CAPTURED,2026-08-23 19:01:09.681752+00:00
GTW_P0013,P0013,38300.00,766.00,137.88,2026-08-13,CAPTURED,2026-08-23 19:01:09.681952+00:00
GTW_P0030,P0030,27900.00,558.00,100.44,2026-08-13,CAPTURED,2026-08-23 19:01:09.682969+00:00
GTW_P0062,P0062,55000.00,1100.00,198.00,2026-08-13,CAPTURED,2026-08-23 19:01:09.684974+00:00
GTW_P0073,P0073,68100.00,1362.00,245.16,2026-08-13,CAPTURED,2026-08-23 19:01:09.685658+00:00
GTW_P0079,P0079,99200.00,1984.00,357.12,2026-08-13,CAPTURED,2026-08-23 19:01:09.686022+00:00
