payment_id,customer_name,scenario_type,expected_status,expected_confidence,expected_difference,expected_reason,is_resolvable,created_at
P0001,HDFC Life Insurance,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734012+00:00
P0002,Zomato Media Pvt Ltd,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734107+00:00
P0003,Tata Consultancy Services,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734171+00:00
P0004,Urban Company Technologies,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734334+00:00
P0005,Titan Company Ltd,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734496+00:00
P0006,Apollo Hospitals Ent,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734547+00:00
P0007,Mahindra & Mahindra,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734593+00:00
P0008,Bharti Airtel Ltd,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734636+00:00
P0009,Delhivery Logistics,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734680+00:00
P0010,Wipro Enterprises,EXACT_MATCH,MATCHED,0.99,0.00,"Deterministic 1:1 match across Payment, Gateway, and Bank credit.",True,2026-08-23 19:01:09.734723+00:00
