payment_id,customer_name,amount,currency,payment_date,gateway,created_at
P0051,Apollo Hospitals Ent,147600.00,INR,2026-08-16,STRIPE_IN,2026-08-23 19:01:09.650006+00:00
P0053,Reliance Retail Ltd,15200.00,INR,2026-08-16,STRIPE_IN,2026-08-23 19:01:09.650086+00:00
P0092,Flipkart Internet Pvt Ltd,109600.00,INR,2026-08-16,STRIPE_IN,2026-08-23 19:01:09.651894+00:00
P0110,Zerodha Broking Ltd,94200.00,INR,2026-08-16,RAZORPAY,2026-08-23 19:01:09.652700+00:00
P0136,Delhivery Logistics,54200.00,INR,2026-08-16,CASHFREE,2026-08-23 19:01:09.653831+00:00
P0015,Paytm One97 Comm,38400.00,INR,2026-08-15,CASHFREE,2026-08-23 19:01:09.647970+00:00
P0019,Larsen & Toubro Ltd,136600.00,INR,2026-08-15,STRIPE_IN,2026-08-23 19:01:09.648183+00:00
P0024,Larsen & Toubro Ltd,127000.00,INR,2026-08-15,PAYU,2026-08-23 19:01:09.648536+00:00
P0035,Bharti Airtel Ltd,94700.00,INR,2026-08-15,RAZORPAY,2026-08-23 19:01:09.649182+00:00
P0129,Delhivery Logistics,104000.00,INR,2026-08-15,CASHFREE,2026-08-23 19:01:09.653528+00:00
P0131,Titan Company Ltd,54900.00,INR,2026-08-15,CASHFREE,2026-08-23 19:01:09.653610+00:00
P0023,Swiggy Bundl Technologies,144300.00,INR,2026-08-14,RAZORPAY,2026-08-23 19:01:09.648483+00:00
P0026,HDFC Life Insurance,65100.00,INR,2026-08-14,STRIPE_IN,2026-08-23 19:01:09.648669+00:00
P0042,Apollo Hospitals Ent,77500.00,INR,2026-08-14,CASHFREE,2026-08-23 19:01:09.649562+00:00
P0048,Paytm One97 Comm,39000.00,INR,2026-08-14,CASHFREE,2026-08-23 19:01:09.649888+00:00
P0070,Delhivery Logistics,149500.00,INR,2026-08-14,RAZORPAY,2026-08-23 19:01:09.650858+00:00
P0084,Bharti Airtel Ltd,69200.00,INR,2026-08-14,RAZORPAY,2026-08-23 19:01:09.651545+00:00
P0085,Zerodha Broking Ltd,14000.00,INR,2026-08-14,RAZORPAY,2026-08-23 19:01:09.651585+00:00
P0086,Flipkart Internet Pvt Ltd,79500.00,INR,2026-08-14,RAZORPAY,2026-08-23 19:01:09.651654+00:00
P0105,Infosys Technologies,89900.00,INR,2026-08-14,PAYU,2026-08-23 19:01:09.652472+00:00
P0125,Reliance Retail Ltd,76100.00,INR,2026-08-14,PAYU,2026-08-23 19:01:09.653321+00:00
P0127,Nykaa FSN E-Commerce,26600.00,INR,2026-08-14,PAYU,2026-08-23 19:01:09.653448+00:00
P0139,Ola ANI Technologies,75400.00,INR,2026-08-14,PAYU,2026-08-23 19:01:09.653949+00:00
P0009,Delhivery Logistics,30500.00,INR,2026-08-13,RAZORPAY,2026-08-23 19:01:09.647616+00:00
P0012,Paytm One97 Comm,25600.00,INR,2026-08-13,PAYU,2026-08-23 19:01:09.647809+00:00
P0017,Reliance Retail Ltd,69600.00,INR,2026-08-13,PAYU,2026-08-23 19:01:09.648077+00:00
P0088,Apollo Hospitals Ent,71800.00,INR,2026-08-13,PAYU,2026-08-23 19:01:09.651735+00:00
P0089,Flipkart Internet Pvt Ltd,91100.00,INR,2026-08-13,STRIPE_IN,2026-08-23 19:01:09.651774+00:00
P0096,Larsen & Toubro Ltd,106200.00,INR,2026-08-13,STRIPE_IN,2026-08-23 19:01:09.652062+00:00
P0104,Zomato Media Pvt Ltd,52300.00,INR,2026-08-13,STRIPE_IN,2026-08-23 19:01:09.652430+00:00
P0111,Mahindra & Mahindra,141900.00,INR,2026-08-13,STRIPE_IN,2026-08-23 19:01:09.652740+00:00
P0010,Wipro Enterprises,133700.00,INR,2026-08-12,STRIPE_IN,2026-08-23 19:01:09.647691+00:00
P0013,Bharti Airtel Ltd,38300.00,INR,2026-08-12,PAYU,2026-08-23 19:01:09.647862+00:00
P0030,Tata Consultancy Services,27900.00,INR,2026-08-12,PAYU,2026-08-23 19:01:09.648909+00:00
P0062,Infosys Technologies,55000.00,INR,2026-08-12,PAYU,2026-08-23 19:01:09.650494+00:00
P0073,Reliance Retail Ltd,68100.00,INR,2026-08-12,RAZORPAY,2026-08-23 19:01:09.650983+00:00
P0079,Flipkart Internet Pvt Ltd,99200.00,INR,2026-08-12,PAYU,2026-08-23 19:01:09.651227+00:00
P0138,Paytm One97 Comm,67700.00,INR,2026-08-12,CASHFREE,2026-08-23 19:01:09.653910+00:00
P0144,Wipro Enterprises,51500.00,INR,2026-08-12,STRIPE_IN,2026-08-23 19:01:09.677268+00:00
P0016,Delhivery Logistics,49900.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.648024+00:00
P0018,Flipkart Internet Pvt Ltd,121100.00,INR,2026-08-11,STRIPE_IN,2026-08-23 19:01:09.648130+00:00
P0036,Paytm One97 Comm,18100.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.649235+00:00
P0057,MakeMyTrip India,120700.00,INR,2026-08-11,PAYU,2026-08-23 19:01:09.650250+00:00
P0059,Wipro Enterprises,98600.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.650331+00:00
P0066,Urban Company Technologies,48100.00,INR,2026-08-11,STRIPE_IN,2026-08-23 19:01:09.650682+00:00
P0091,Apollo Hospitals Ent,123700.00,INR,2026-08-11,CASHFREE,2026-08-23 19:01:09.651854+00:00
P0093,Ola ANI Technologies,140900.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.651934+00:00
P0099,Titan Company Ltd,141700.00,INR,2026-08-11,CASHFREE,2026-08-23 19:01:09.652186+00:00
P0103,Zerodha Broking Ltd,73700.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.652389+00:00
P0126,Ola ANI Technologies,137600.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.653402+00:00
P0132,Tata Consultancy Services,106200.00,INR,2026-08-11,STRIPE_IN,2026-08-23 19:01:09.653669+00:00
